,url,publication_dt,byline,book_title,book_author,summary,uuid,uri,isbn13
0,http://www.nytimes.com/2013/05/12/books/review/the-5th-wave-by-rick-yancey.html,2013-05-12,JUSTIN CRONIN,5th Wave,Rick Yancey,"In this Y.A. novel, aliens land on earth and the apocalypse begins.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780142425831', '9780147519085', '9780399162411', '9781101598962', '9781101996515', '9781611763997']"
0,http://www.nytimes.com/2007/08/12/books/review/Schillinger7-t.html,2007-08-12,LIESL SCHILLINGER,Eclipse,Stephenie Meyer,"Stephenie Meyer teases her readers with the romantic confusion of a normal (well ... human, at any rate) girl who’s being pursued by a wolf-teen and is in love with a Nosferatu.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780316087360']
0,http://www.nytimes.com/2011/08/15/books/ready-player-one-by-ernest-cline-review.html,2011-08-15,JANET MASLIN,Ready Player One,Ernest Cline,Ernest Cline’s novel “Ready Player One” imagines a world so grim that a virtual reality based on ’80s pop culture is the key to life.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780307887436', '9780307887443', '9780307887450', '9780307913142', '9780606264129']"
0,http://www.nytimes.com/2011/10/16/books/review/it-takes-a-monster-to-learn-how-to-grieve.html,2011-10-16,JESSICA BRUDER,A Monster Calls,Patrick Ness,This monster forces a boy to confront his despair over his mother’s terminal illness.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780763660659']
0,http://www.nytimes.com/2009/04/26/books/review/Redel-t.html,2009-04-26,VICTORIA REDEL,The Possession of Mr. Cave,Matt Haig,"After his son’s death, the widower protagonist of this chilling cautionary novel begins to cling too fiercely to his beautiful teenage daughter.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780143117308']
1,http://www.nytimes.com/2011/01/02/books/review/Sharpe-t.html,2011-01-02,MATTHEW SHARPE,The Radleys,Matt Haig,"The family in this novel is tormented by suppressed urges — the children find it hard to fit in. Oh, they’re vampires, too.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781847678607']
2,https://www.nytimes.com/2018/02/16/books/review/how-to-stop-time-matt-haig.html,2018-02-16,CLARE CLARK,How to Stop Time,Matt Haig,"In Matt Haig’s new novel, “How to Stop Time,” the narrator — born in 1581, and still alive today — seems to be having a midlife crisis.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780525522874']
3,https://www.nytimes.com/2020/09/29/books/review/matt-haig-the-midnight-library.html,2020-09-29,Karen Joy Fowler,The Midnight Library,Matt Haig,Matt Haig provides a fresh literary twist on the “Sliding Doors” phenomenon.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780525559474']
4,https://www.nytimes.com/2020/09/29/books/review/the-midnight-library-by-matt-haig-an-excerpt.html,2020-09-29,,The Midnight Library,Matt Haig,"An excerpt from “The Midnight Library,” by Matt Haig",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780525559474']
0,http://www.nytimes.com/2006/12/24/books/review/Itzkoff.t.html,2006-12-24,DAVE ITZKOFF,The Android’s Dream,John Scalzi,John Scalzi’s new novel is a sci-fi send-up of the standard diplomacy potboiler.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780765348289']
0,http://www.nytimes.com/2013/05/12/books/review/the-rithmatist-by-brandon-sanderson.html,2013-05-12,PATRICK NESS,Rithmatist,Brandon Sanderson,Brandon Sanderson’s hero longs to join a magical cadre.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780765320322', '9780765338440', '9781429953160']"
0,http://www.nytimes.com/2011/11/13/books/review/11-22-63-by-stephen-king-book-review.html,2011-11-13,ERROL MORRIS,11/22/63,Stephen King,Stephen King’s time traveler tries to undo some painful history.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780307951434', '9780606351461', '9781442344280', '9781442344303', '9781442391635', '9781444727326', '9781451627282', '9781451627299', '9781451627305', '9781451651645', '9781501120602', '9781594135590']"
1,http://www.nytimes.com/2011/10/31/books/stephen-kings-11-23-63-review.html,2011-10-31,JANET MASLIN,11/22/63,Stephen King,"Stephen King’s latest novel, “11/22/63,” tells of a schoolteacher who travels back to 1958 to alter history, and falls in love as well.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780307951434', '9780606351461', '9781442344280', '9781442344303', '9781442391635', '9781444727326', '9781451627282', '9781451627299', '9781451627305', '9781451651645', '9781501120602', '9781594135590']"
2,http://www.nytimes.com/2004/01/04/books/the-quest-for-the-north-central-positronics.html,2004-01-04,ANDREW O'HEHIR,Wolves of the Calla,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781848941137']
3,http://www.nytimes.com/1993/10/24/books/in-short-fiction-284093.html,1993-10-24,RICHARD E. NICHOLLS,Nightmares and Dreamscapes,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781441615299']
