,0,1,2
0,Fiction,None,
1,Science Fiction,None,
2,Fantasy,Fantasy,
3,Romance,Romance,
4,Science Fiction Fantasy,Fantasy,
5,Adventure,Adventure,
6,Young Adult,Young Adult,
7,Science Fiction (Dystopia) ,Dystopia,
8,Audiobook,None,
9,Fantasy (Paranormal) ,Paranormal,
10,Space (Space Opera) ,Space Opera,
11,Science Fiction (Aliens) ,Aliens,
12,Historical (Historical Fiction) ,Historical,
13,Space,Space,
14,Adult,Adult,
15,Historical,Historical,
16,Science Fiction (Time Travel) ,Time Travel,
17,Speculative Fiction,Speculative,
18,Apocalyptic (Post Apocalyptic) ,Apocalyptic,
19,War (Military Fiction) ,War,
20,Mystery,Mystery,
21,Science Fiction (Steampunk) ,Steampunk,
22,Fantasy (Magic) ,Fantasy,
23,Romance (Paranormal Romance) ,Romance,Paranormal
24,Science Fiction (Military Science Fiction) ,War,
25,Horror,Horror,
26,Novels,None,
27,Science Fiction (Alternate History) ,Historical,
28,Fantasy (Urban Fantasy) ,Fantasy,
29,Science Fiction (Cyberpunk) ,Steampunk,
30,Thriller,Horror,
31,Short Stories,None,
32,Science Fiction (Apocalyptic) ,Apocalyptic,
33,Sequential Art (Graphic Novels) ,None,
34,Sequential Art (Comics) ,None,
35,War,War,
36,Childrens,Childrens,
37,Action,Adventure,
38,Romance (Science Fiction Romance) ,Romance,
39,Humor,None,
40,Young Adult (Teen) ,Young Adult,
41,Adult Fiction (Erotica) ,Adult,
42,LGBT,Queer,
43,Science Fiction (Robots) ,Speculative,
44,Childrens (Middle Grade) ,Childrens,
45,Romance (Historical Romance) ,Romance,
46,Young Adult (Young Adult Fantasy) ,Young Adult,Fantasy
47,Contemporary,None,
48,Novella,None,
49,Horror (Zombies) ,Horror,
50,Classics,None,
51,Futuristic,Speculative,
52,Graphic Novels Comics,None,
53,Fantasy (Supernatural) ,Fantasy,Paranormal
54,Paranormal (Vampires) ,Paranormal,Horror
55,Business (Amazon) ,None,
56,Anthologies,None,
57,Comics (Comic Book) ,None,
58,Romance (M M Romance) ,Romance,
59,Adventure (Survival) ,Adventure,
60,Fantasy (High Fantasy) ,Fantasy,
61,Science Fiction (Hard Science Fiction) ,Historical,Speculative
62,Mystery (Crime) ,Mystery,
63,Sequential Art (Manga) ,None,
64,Romance (Time Travel Romance) ,Romance,Time Travel
65,Paranormal (Shapeshifters) ,Paranormal,Horror
66,GLBT (Queer) ,Queer,
67,Fantasy (Dragons) ,Fantasy,
68,Suspense,Mystery,
69,Adult Fiction,Adult,
70,Childrens (Juvenile) ,Childrens,
71,Literature,None,
72,Historical Fiction (Historical Fantasy) ,Historical,Fantasy
73,Childrens (Picture Books) ,Childrens,
74,Fantasy (Epic Fantasy) ,Fantasy,
75,Anthologies (Collections) ,None,
76,New Adult,Young Adult,
77,Media Tie In,None,
78,Artificial Intelligence,Speculative,
79,Humor (Comedy) ,None,
80,Retellings,None,
81,Comics Manga,None,
82,Romance (Erotic Romance) ,Romance,
83,Literature (American) ,None,
84,Science (Technology) ,Speculative,
85,Media Tie In (Star Wars) ,None,
86,Comics (Superheroes) ,None,
87,Thriller (Mystery Thriller) ,Mystery,
88,LGBT (Gay) ,Queer,
89,Nonfiction,None,
90,Animals,None,
91,Politics,Speculative,
92,Erotica (Menage) ,Adult,
93,Fantasy (Fairy Tales) ,Fantasy,
94,Erotica (BDSM) ,Adult,Romance
95,Philosophy,None,
96,Fantasy (Mythology) ,Fantasy,
97,Fairies (Fae) ,Fantasy,
98,Romance (M F Romance) ,Romance,
99,Westerns,Adventure,
100,European Literature (British Literature) ,None,
101,40k,None,
102,Literary Fiction,None,
103,Romance (Contemporary Romance) ,Romance,
104,Dark,None,
105,Romance (Fantasy Romance) ,Romance,Fantasy
106,Cultural (Canada) ,None,
107,Magical Realism,Fantasy,
108,Shapeshifters (Werewolves) ,Paranormal,
109,Manga (Seinen) ,None,
110,Religion,None,
111,Science,Speculative,
112,Paranormal (Witches) ,Paranormal,Horror
113,Historical (Medieval) ,Historical,
